Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer Testsuite,Chrome 69.0.3497.100,,2018-10-12 21:27:23,2018-10-12 21:32:48,5m - 24.936s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-12 21:27:24,2018-10-12 21:27:36,12.693s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-12 21:27:24,2018-10-12 21:27:35,10.393s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-12 21:27:35,2018-10-12 21:27:35,0.621s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-12 21:27:35,2018-10-12 21:27:35,0.124s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:27:35,2018-10-12 21:27:36,0.989s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-12 21:27:36,2018-10-12 21:27:45,8.753s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-12 21:27:37,2018-10-12 21:27:44,7.102s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-12 21:27:44,2018-10-12 21:27:44,0.521s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-12 21:27:44,2018-10-12 21:27:44,0.059s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:27:44,2018-10-12 21:27:45,0.773s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-12 21:27:45,2018-10-12 21:27:54,8.874s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to user signup page,2018-10-12 21:27:45,2018-10-12 21:27:52,6.905s,PASSED
setText,Chrome 69.0.3497.100,Input invalid email,2018-10-12 21:27:52,2018-10-12 21:27:53,0.397s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 21:27:53,2018-10-12 21:27:53,0.552s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:27:53,2018-10-12 21:27:53,0.046s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:27:53,2018-10-12 21:27:54,0.759s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_05_Verify that signing up with valid email,Chrome 69.0.3497.100,Successfully sign up with valid email to test the confirm link sent to inbox,2018-10-12 21:27:54,2018-10-12 21:28:03,9.240s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-12 21:27:54,2018-10-12 21:28:01,6.790s,PASSED
Statement - today = new java.util.Date(),Chrome 69.0.3497.100,Input valid email,2018-10-12 21:28:01,2018-10-12 21:28:01,0.007s,PASSED
"Statement - todaysDate = today.format(""ddMMyy_hhmmss"")",Chrome 69.0.3497.100,,2018-10-12 21:28:01,2018-10-12 21:28:01,0.003s,PASSED
"Statement - var_SignUpEmail = ""alanconsumer"" + todaysDate + ""@yopmail.com""",Chrome 69.0.3497.100,,2018-10-12 21:28:01,2018-10-12 21:28:01,0.000s,PASSED
Statement - var_ConsumerNewSignUpEmail = var_SignUpEmail,Chrome 69.0.3497.100,,2018-10-12 21:28:01,2018-10-12 21:28:01,0.001s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-12 21:28:01,2018-10-12 21:28:01,0.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-12 21:28:01,2018-10-12 21:28:02,0.527s,PASSED
click,Chrome 69.0.3497.100,,2018-10-12 21:28:02,2018-10-12 21:28:03,0.808s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-12 21:28:03,2018-10-12 21:28:03,0.063s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-12 21:28:03,2018-10-12 21:28:03,0.741s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_06_Verify that clicking on confirmation link will redirect ro confirm-user page with the correct email showed,Chrome 69.0.3497.100,To test the confirmation-link redirects to User-confirm page,2018-10-12 21:28:03,2018-10-12 21:28:19,16.120s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,,2018-10-12 21:28:04,2018-10-12 21:28:09,5.862s,PASSED
