Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer,Chrome 69.0.3497.100,,2018-10-15 14:46:41,2018-10-15 14:47:06,24.366s,INCOMPLETE
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_01_Verify clicking Signup on button will redirect to Consumer Sign up page correctly,Chrome 69.0.3497.100,Click the Sign up button on the top in Portal homepage to test redirect to sign up correctly,2018-10-15 14:46:42,2018-10-15 14:46:55,13.153s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Pirq Homepage,2018-10-15 14:46:42,2018-10-15 14:46:54,11.245s,PASSED
click,Chrome 69.0.3497.100,Click Sign up button,2018-10-15 14:46:54,2018-10-15 14:46:54,0.551s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify point SignUp,2018-10-15 14:46:54,2018-10-15 14:46:54,0.098s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 14:46:54,2018-10-15 14:46:55,0.791s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_02_Verify that signing up with empty required fields shows error message,Chrome 69.0.3497.100,Leave empty required fields to test error messages,2018-10-15 14:46:55,2018-10-15 14:47:06,10.664s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Go to Consumer Sign up page,2018-10-15 14:46:55,2018-10-15 14:47:04,9.066s,PASSED
click,Chrome 69.0.3497.100,"Leave Empty Email, click Create Account",2018-10-15 14:47:04,2018-10-15 14:47:05,0.508s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 14:47:05,2018-10-15 14:47:05,0.046s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 14:47:05,2018-10-15 14:47:06,0.805s,PASSED
,,,,,,
Test Cases/Consumer/Sign Up/ConsSig_01_03_Verify that signing up with invalid email shows error message,Chrome 69.0.3497.100,Invalid email to test error message,2018-10-15 14:47:06,2018-10-15 14:47:06,0.020s,PASSED
