Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Consumer_TestSuites,Chrome 69.0.3497.100,,2018-10-11 18:15:53,2018-10-11 18:21:46,5m - 53.749s,ERROR
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_03_Verify that user login invalid email shows error message,Chrome 69.0.3497.100,Input invalid email to test error message,2018-10-11 18:15:53,2018-10-11 18:16:07,13.947s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Open Consumer Login page,2018-10-11 18:15:54,2018-10-11 18:16:04,10.231s,PASSED
customkeyword.CommonKeyword.LoginConsumer,Chrome 69.0.3497.100,Login Invalid Consumer Email,2018-10-11 18:16:04,2018-10-11 18:16:06,2.309s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-11 18:16:06,2018-10-11 18:16:06,0.080s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:16:06,2018-10-11 18:16:07,0.803s,PASSED
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_04_Verify that user login invalid password shows error message,Chrome 69.0.3497.100,Input invalid password to test error message,2018-10-11 18:16:07,2018-10-11 18:16:19,11.286s,PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-11 18:16:08,2018-10-11 18:16:18,10.239s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:16:18,2018-10-11 18:16:19,0.755s,PASSED
,,,,,,
Test Cases/Consumer/Login/ConsLog_01_05_Verify that clicking on Cancel button to cancel login and redirect to Pirq homepage,Chrome 69.0.3497.100,Test cancel button,2018-10-11 18:16:19,2018-10-11 18:16:31,12.497s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Open Consumer Login page,2018-10-11 18:16:19,2018-10-11 18:16:28,8.837s,PASSED
click,Chrome 69.0.3497.100,Click Cancel button,2018-10-11 18:16:28,2018-10-11 18:16:30,2.423s,PASSED
verifyElementNotPresent,Chrome 69.0.3497.100,Verify point: Redirect to Homepage,2018-10-11 18:16:30,2018-10-11 18:16:30,0.200s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-11 18:16:30,2018-10-11 18:16:31,0.841s,PASSED
,,,,,,
