Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Digital Loyalty,Chrome 69.0.3497.100,,2018-10-15 16:30:23,2018-10-15 16:44:49,14m - 26.271s,ERROR
,,,,,,
Test Cases/Digital Loyalty/Login/DigLog_01_Verify that logging un-successfully with wrong email,Chrome 69.0.3497.100,,2018-10-15 16:30:24,2018-10-15 16:30:42,17.615s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:30:25,2018-10-15 16:30:25,0.182s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to merchant login page,2018-10-15 16:30:25,2018-10-15 16:30:36,10.991s,PASSED
setText,Chrome 69.0.3497.100,input wrong email,2018-10-15 16:30:36,2018-10-15 16:30:38,1.411s,PASSED
setText,Chrome 69.0.3497.100,input password,2018-10-15 16:30:38,2018-10-15 16:30:39,0.883s,PASSED
click,Chrome 69.0.3497.100,Click login button,2018-10-15 16:30:39,2018-10-15 16:30:40,1.613s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,"verify Error ""Login failed."" displays",2018-10-15 16:30:40,2018-10-15 16:30:41,0.279s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:30:41,2018-10-15 16:30:42,1.291s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Login/DigLog_02_Verify that logging un-successfully with wrong password,Chrome 69.0.3497.100,,2018-10-15 16:30:42,2018-10-15 16:30:55,13.016s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:30:43,2018-10-15 16:30:43,0.007s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to merchant login page,2018-10-15 16:30:43,2018-10-15 16:30:50,7.625s,PASSED
setText,Chrome 69.0.3497.100,input valid email,2018-10-15 16:30:50,2018-10-15 16:30:51,0.967s,PASSED
setText,Chrome 69.0.3497.100,input wrong password,2018-10-15 16:30:51,2018-10-15 16:30:52,0.862s,PASSED
click,Chrome 69.0.3497.100,Click login button,2018-10-15 16:30:52,2018-10-15 16:30:54,1.513s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,"verify Error ""Login failed."" displays",2018-10-15 16:30:54,2018-10-15 16:30:54,0.148s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:30:54,2018-10-15 16:30:55,1.199s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Login/DigLog_03_Verify that logging successfully,Chrome 69.0.3497.100,,2018-10-15 16:30:55,2018-10-15 16:31:06,11.596s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:30:55,2018-10-15 16:30:55,0.007s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to merchant login page,2018-10-15 16:30:55,2018-10-15 16:31:02,6.806s,PASSED
setText,Chrome 69.0.3497.100,input valid email,2018-10-15 16:31:02,2018-10-15 16:31:03,0.737s,PASSED
setText,Chrome 69.0.3497.100,input valid password,2018-10-15 16:31:03,2018-10-15 16:31:04,0.661s,PASSED
click,Chrome 69.0.3497.100,Click login button,2018-10-15 16:31:04,2018-10-15 16:31:05,1.613s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,"verify My venues page appears with text ""My Venues""",2018-10-15 16:31:05,2018-10-15 16:31:05,0.118s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:31:05,2018-10-15 16:31:06,1.070s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_01_Verify that submitting un-successfully digital loyalty account with missing email at step 1,Chrome 69.0.3497.100,,2018-10-15 16:31:06,2018-10-15 16:31:21,14.847s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:31:07,2018-10-15 16:31:07,0.003s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,navigate to sign up page,2018-10-15 16:31:07,2018-10-15 16:31:15,7.770s,PASSED
setText,Chrome 69.0.3497.100,Input First name,2018-10-15 16:31:15,2018-10-15 16:31:16,0.949s,PASSED
setText,Chrome 69.0.3497.100,Input Last name,2018-10-15 16:31:16,2018-10-15 16:31:17,0.869s,PASSED
setText,Chrome 69.0.3497.100,Input Phone,2018-10-15 16:31:17,2018-10-15 16:31:17,0.582s,PASSED
setText,Chrome 69.0.3497.100,Input business name,2018-10-15 16:31:17,2018-10-15 16:31:18,0.673s,PASSED
setText,Chrome 69.0.3497.100,input streeet,2018-10-15 16:31:18,2018-10-15 16:31:18,0.547s,PASSED
setText,Chrome 69.0.3497.100,input City,2018-10-15 16:31:18,2018-10-15 16:31:19,0.442s,PASSED
setText,Chrome 69.0.3497.100,Input postal code,2018-10-15 16:31:19,2018-10-15 16:31:19,0.481s,PASSED
click,Chrome 69.0.3497.100,Submit form,2018-10-15 16:31:19,2018-10-15 16:31:20,0.968s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 16:31:20,2018-10-15 16:31:20,0.088s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:31:20,2018-10-15 16:31:21,1.046s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_02_Verify that submitting un-successfully digital loyalty account with missing Phone at step 1,Chrome 69.0.3497.100,,2018-10-15 16:31:21,2018-10-15 16:31:36,14.158s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:31:22,2018-10-15 16:31:22,0.002s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:31:22,2018-10-15 16:31:30,7.813s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:31:30,2018-10-15 16:31:30,0.618s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:31:30,2018-10-15 16:31:31,0.535s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:31:31,2018-10-15 16:31:31,0.015s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:31:31,2018-10-15 16:31:32,0.853s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:31:32,2018-10-15 16:31:32,0.509s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:31:32,2018-10-15 16:31:33,0.439s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:31:33,2018-10-15 16:31:33,0.430s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:31:33,2018-10-15 16:31:34,0.384s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:31:34,2018-10-15 16:31:34,0.923s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,verify error,2018-10-15 16:31:34,2018-10-15 16:31:35,0.083s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:31:35,2018-10-15 16:31:36,0.967s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_03_Verify that submitting un-successfully digital loyalty account with existing email at step 1,Chrome 69.0.3497.100,,2018-10-15 16:31:36,2018-10-15 16:31:50,14.876s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:31:36,2018-10-15 16:31:36,0.003s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to Digital Sign Up,2018-10-15 16:31:36,2018-10-15 16:31:44,8.124s,PASSED
setText,Chrome 69.0.3497.100,Input First name,2018-10-15 16:31:44,2018-10-15 16:31:45,0.467s,PASSED
setText,Chrome 69.0.3497.100,"Input Last name
",2018-10-15 16:31:45,2018-10-15 16:31:45,0.501s,PASSED
setText,Chrome 69.0.3497.100,Input Existing email,2018-10-15 16:31:45,2018-10-15 16:31:46,0.654s,PASSED
setText,Chrome 69.0.3497.100,Input Business name,2018-10-15 16:31:46,2018-10-15 16:31:46,0.473s,PASSED
setText,Chrome 69.0.3497.100,Input Street,2018-10-15 16:31:46,2018-10-15 16:31:47,0.629s,PASSED
setText,Chrome 69.0.3497.100,Input City,2018-10-15 16:31:47,2018-10-15 16:31:47,0.488s,PASSED
setText,Chrome 69.0.3497.100,Input Postal code,2018-10-15 16:31:47,2018-10-15 16:31:48,0.371s,PASSED
setText,Chrome 69.0.3497.100,Input Phone,2018-10-15 16:31:48,2018-10-15 16:31:48,0.544s,PASSED
click,Chrome 69.0.3497.100,Submit sign up step1,2018-10-15 16:31:48,2018-10-15 16:31:49,0.968s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,Verify error message,2018-10-15 16:31:49,2018-10-15 16:31:49,0.117s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:31:49,2018-10-15 16:31:50,0.987s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_04_Verify that submitting un-successfully digital loyalty account with missing first name at step 1,Chrome 69.0.3497.100,,2018-10-15 16:31:50,2018-10-15 16:32:06,15.217s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:31:51,2018-10-15 16:31:51,0.003s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:31:51,2018-10-15 16:31:59,8.237s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:31:59,2018-10-15 16:32:00,0.636s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:32:00,2018-10-15 16:32:01,0.549s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:01,2018-10-15 16:32:01,0.002s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:01,2018-10-15 16:32:01,0.890s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:32:01,2018-10-15 16:32:02,0.511s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:32:02,2018-10-15 16:32:02,0.429s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:32:02,2018-10-15 16:32:03,0.477s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:32:03,2018-10-15 16:32:03,0.357s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:32:03,2018-10-15 16:32:04,0.969s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,verify error,2018-10-15 16:32:04,2018-10-15 16:32:04,0.147s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:32:04,2018-10-15 16:32:06,1.334s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_05_Verify that submitting un-successfully digital loyalty account with missing last name at step 1,Chrome 69.0.3497.100,,2018-10-15 16:32:06,2018-10-15 16:32:19,13.572s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:32:06,2018-10-15 16:32:06,0.003s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:32:06,2018-10-15 16:32:14,7.434s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:32:14,2018-10-15 16:32:14,0.474s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:32:14,2018-10-15 16:32:15,0.402s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:15,2018-10-15 16:32:15,0.001s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:15,2018-10-15 16:32:15,0.643s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:32:15,2018-10-15 16:32:16,0.725s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:32:16,2018-10-15 16:32:16,0.448s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:32:16,2018-10-15 16:32:17,0.415s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:32:17,2018-10-15 16:32:17,0.454s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:32:17,2018-10-15 16:32:18,1.000s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,verify error,2018-10-15 16:32:18,2018-10-15 16:32:18,0.119s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:32:18,2018-10-15 16:32:19,0.915s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_06_Verify that submitting un-successfully digital loyalty account with missing business name at step 1,Chrome 69.0.3497.100,,2018-10-15 16:32:19,2018-10-15 16:32:34,14.823s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:32:20,2018-10-15 16:32:20,0.004s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:32:20,2018-10-15 16:32:28,7.854s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:32:28,2018-10-15 16:32:29,0.897s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:32:29,2018-10-15 16:32:29,0.486s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:29,2018-10-15 16:32:29,0.001s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:29,2018-10-15 16:32:30,0.886s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:32:30,2018-10-15 16:32:30,0.469s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:32:30,2018-10-15 16:32:31,0.466s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:32:31,2018-10-15 16:32:31,0.417s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:32:31,2018-10-15 16:32:32,0.435s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:32:32,2018-10-15 16:32:33,1.291s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,verify error,2018-10-15 16:32:33,2018-10-15 16:32:33,0.098s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:32:33,2018-10-15 16:32:34,0.920s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_07_Verify that submitting un-successfully digital loyalty account with missing street address at step 1,Chrome 69.0.3497.100,,2018-10-15 16:32:34,2018-10-15 16:32:49,14.545s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:32:35,2018-10-15 16:32:35,0.003s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:32:35,2018-10-15 16:32:43,8.010s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:32:43,2018-10-15 16:32:43,0.601s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:32:43,2018-10-15 16:32:44,0.512s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:32:44,2018-10-15 16:32:44,0.001s,PASSED
